gene,EC_artery,EC_capillary,EC_venous,SMC_vasc,SMC_artery,pericytes_st,pericytes_ECM,astro_Hpc,astro_ctx,microglia,oligodegro,OPC,neuron,SE_EC_artery,SE_EC_capillary,SE_EC_venous,SE_SMC_vasc,SE_SMC_artery,SE_pericytes_st,SE_pericytes_ECM,SE_astro_Hpc,SE_astro_ctx,SE_microglia,SE_oligodegro,SE_OPC,SE_neuron
ERBB2,0.001969058,0.002140869,0.003530575,0.019463285,0.020114943,0.014604811,0.008455383,0.023590633,0.023456199,0,0.001993433,0.004638834,0.003215434,0.000743605,0.000415732,0.000704917,0.002444913,0.004313346,0.001225345,0.00116502,0.002087422,0.002366103,0,0.000510702,0.001749823,0.001854439
ERBB3,0.000562588,0.001427246,0.000706115,0.000589797,0.001149425,0.000954563,0.00150989,0.002428448,0.000957396,0,0.057223265,0.030483764,0.006430868,0.000397754,0.000334514,0.000315695,0.000416988,0.000812533,0.00030173,0.000477144,0.000693165,0.000478526,0,0.002622381,0.004525194,0.002618339
ERBB4,0.064416315,0.056947121,0.052111284,0.568858744,0.244827586,0.11063383,0.110221954,1.344319167,3.801819052,0,1.251289869,3.681908549,5.97642015,0.004907223,0.002195622,0.002872871,0.020888189,0.017678812,0.004646085,0.0053887,0.021534411,0.048531654,0,0.021258944,0.087718117,0.300779924
FSHR,0,0.000713623,0.000141223,0.000294898,0.001149425,0.000668194,0.000603956,0.001734605,0.001675443,0,0.000586304,0.001325381,0.002143623,0,0.000225595,0.000141223,0.000294898,0.001149425,0.000252481,0.00030191,0.000600503,0.000632803,0,0.000262142,0.000936875,0.001514957
PDGFA,0.007876231,0.007849854,0.011015393,0.15924506,0.122413793,0.060519282,0.122905028,0.018039896,0.019626616,0,0.039868668,0.014579192,0.03965702,0.001482803,0.000765757,0.001272201,0.007736293,0.009142652,0.002564382,0.00456,0.001770164,0.002146279,0,0.002213983,0.00322581,0.007236239
PDGFB,0.037974684,0.055948048,0.054512075,0.006192863,0.022988506,0.003150057,0.002264835,0.000693842,0.001436094,0,0.001055347,0,0.005359057,0.003350981,0.002102705,0.002918293,0.001410486,0.003773251,0.000547516,0.000584159,0.000346831,0.000585932,0,0.000388765,0,0.002391495
PDGFC,0.101828411,0.183829301,0.311820364,0.202005308,0.024712644,0.013554792,0.011928129,0.082567216,0.166108186,0.5,0.011491557,0.269715043,0.055734191,0.006397713,0.004390218,0.007895795,0.010396964,0.004222021,0.001244932,0.001432974,0.004063545,0.006514946,0.5,0.001411475,0.014841285,0.008784527
PDGFD,0.010407876,0.001355884,0.001835899,0.001179593,0.002873563,0.001622757,0.002113846,0.001734605,0.004308281,0,0.017354597,0.008614977,0.019292605,0.002190338,0.000326834,0.000508755,0.000589535,0.001283618,0.000457539,0.000564394,0.00073564,0.001013403,0,0.001697068,0.00288103,0.005431478
PDGFRA,0.00140647,0.000285449,0.000988561,0.000589797,0,0.000668194,0.000754945,0,0.000239349,0,0.000586304,0.155732273,0.002143623,0.000628638,0.000142709,0.000373483,0.000416988,0,0.000252481,0.00033752,0,0.000239349,0,0.000262142,0.010614907,0.001514957
PDGFRB,0,7.14E-05,0,0.457976998,0.704022989,0.852042764,0.808394987,0,0,0,0,0.036447979,0.113612004,0,7.14E-05,0,0.014156472,0.023468623,0.010280856,0.012748451,0,0,0,0,0.005506361,0.013731449
IGF1,0,0.000285449,0.000282446,0,0,0.000190913,0,0.000693842,0.000239349,0,0.000117261,0.001325381,0.053590568,0,0.000142709,0.000199705,0,0,0.000134989,0,0.000346831,0.000239349,0,0.000117261,0.000936875,0.008533423
INSR,0.477074543,1.21287376,0.676881796,0.30846358,0.270114943,0.307464681,0.347425638,0.141717259,0.171852561,0,0.27685272,0.186216037,0.297963558,0.015508806,0.014963152,0.013378203,0.011802635,0.014869747,0.006179684,0.008349616,0.005489117,0.006898936,0,0.006620537,0.012199589,0.022828635
IGF1R,1.670886076,1.740169842,1.437508826,0.83220289,0.278735632,0.198644521,0.154159746,0.421856028,0.408089995,0,0.334545028,0.49304175,0.408360129,0.030842851,0.015365328,0.018904441,0.026530865,0.016600072,0.005184517,0.005827916,0.010159874,0.010579317,0,0.008007366,0.019878211,0.026211339
